Subject,Group,TimeBottom,TimeTop,ErraticSwimming,Freezing,Speed
A1,CTRL,292.881,36.11905,25.36251,0,7.592229
A2,CTRL,359.8,0,23.49262,1.91090877878471,5.236796
A3,CTRL,356.8333,0,20.39387,4.02294563757966,4.416148
A4,CTRL,330.9667,0,26.47442,0,5.59275
A5,CTRL,316.0565,14.66667,19.90845,8.04857859058247,6.061277
A6,CTRL,40,302.2667,19.36072,0,2.47579
A7,CTRL,347.48,9.08,25.4031,0,7.834057
A8,CTRL,302.9667,0.975,9.667886,2.61005875950684,1.951755
A9,CTRL,382,4.337931,27.54822,0,6.337489
A10,CTRL,344.2641,2.8,27.96857,9.70410359091966,4.05809
A11,CTRL,387.0667,6.148771,25.46072,1.2965146883242,4.903817
A12,CTRL,355.8686,3.886275,22.59113,0,6.202459
B1,DPAT,0,390.8333,17.65391,0,3.055269
B2,DPAT,0,319.6741,20.96056,11.8252910837977,2.691104
B3,DPAT,372.8074,1.931035,22.02355,0,7.142832
B4,DPAT,0,392,19.67002,0,4.673437
B5,DPAT,26.43333,114.3333,28.1525,2.96876927913259,3.520011
B6,DPAT,0,374,20.83159,14.5623247996037,3.813359
B7,DPAT,2.428571,368.8571,16.61845,0,4.332442
B8,DPAT,316.6513,15.93333,30.46634,15.8656781740723,4.811575
B9,DPAT,5.966667,219.2,28.74552,8.6304294853532,6.63781
B10,DPAT,0,410,29.49411,1.50169143997355,4.455164
B11,DPAT,0,380,17.91865,7.54389415540866,5.225587
B12,DPAT,146.2954,10.97263,25.03729,1.85960756593491,4.796165
