Subject,Group,NearStimulus,FarFromStimulus,PreferenceScore,Speed,ErraticSwimming
A13,CTRL,237.6305,55.0941,0.81178,6.219248,18.5064
A14,CTRL,181.7273,23.20711,0.88675,6.839112,20.1874
A15,CTRL,261.5833,44.53333,0.85452,5.772963,21.10056
A16,CTRL,275.233,3.80115,0.98637,5.412407,24.59277
A17,CTRL,207.0333,73.56667,0.73782,5.368752,25.09857
A18,CTRL,238.4,61.83333,0.79404,5.102924,24.76007
A19,CTRL,202.5621,30.26176,0.87002,3.599663,19.75066
A20,CTRL,229.2522,53.69987,0.81021,4.217568,26.10906
A21,CTRL,139.1341,27.58305,0.83455,1.838629,25.43667
A22,CTRL,198.8333,82.84102,0.70589,3.851684,30.52021
A23,CTRL,230.1952,77.26732,0.74869,6.118493,25.50857
A24,CTRL,319.0106,6.49688,0.98004,3.761852,27.86299
B13,DPAT,50.28166,4.002389,0.92626,7.847164,28.8728
B14,DPAT,49.34292,59.34673,0.45397,2.837179,25.83719
B15,DPAT,18.56878,34.84081,0.34766,8.187289,18.17625
B16,DPAT,203.3636,54.42801,0.78886,6.413988,24.35112
B17,DPAT,43.4634,21.8439,0.665521,1.197482,17.17637
B18,DPAT,7.663459,27.20909,0.219756,5.284752,30.18754
B19,DPAT,24.10448,36.90407,0.3951,5.376829,21.28712
B20,DPAT,39.107825,5.87003,0.86949,6.817381,22.10726
B21,DPAT,163.2859,113.9134,0.58905,6.882219,22.42314
B22,DPAT,61.9,4.308333,0.93492,5.341268,27.96139
B23,DPAT,11.31175,33.79549,0.25077,4.276492,20.28701
B24,DPAT,54.86332,18.971464,0.743055,8.187464,20.28736
