Subject,Group,OldStranger,NewStranger,PreferenceScore,Speed,ErraticSwimming
A13,CTRL,100.8658,142.6678,0.585823886313839,6.628916,23.65487
A14,CTRL,0,0,0,10.75117,20.81023
A15,CTRL,159.5966,133.254,0.455023824434712,5.993112,20.94633
A16,CTRL,297.2917,3.741666,0.0124294062472796,4.96356,22.84818
A17,CTRL,99.63333,169.6667,0.630028522462474,5.783377,26.23789
A18,CTRL,121.6776,115.9601,0.487970132685176,6.309026,27.54783
A19,CTRL,89.53048,115.8418,0.564057622576913,3.898412,22.91619
A20,CTRL,221.0211,84.33333,0.276181779972866,4.038833,21.64021
A21,CTRL,122.4973,39.66667,0.244608404690635,4.9935,29.28652
A22,CTRL,90.88268,156.5333,0.632672554133326,3.625649,30.70229
A23,CTRL,181.8961,77.88152,0.299800729562462,7.02469,20.49534
A24,CTRL,226.2333,65.57939,0.224731110905424,4.318679,30.59249
B13,DPAT,0,0,0,7.41822,28.40094
B14,DPAT,0,0,0,10.10502,30.96017
B15,DPAT,0,0,0,4.86129,28.46016
B16,DPAT,47.44122,200.427,0.80860305528478,6.602553,24.2908
B17,DPAT,0,0,0,6.59466,25.67475
B18,DPAT,0,0,0,6.90348,29.17375
B19,DPAT,0,0,0,5.77262,23.96455
B20,DPAT,0,0,0,5.41077,29.34515
B21,DPAT,202.4667,107.8333,0.347513051885272,6.136668,19.57367
B22,DPAT,9.730113,2.209523,0.185057819183097,9.332188,17.89527
B23,DPAT,0,0,0,2.85573,30.86792
B24,DPAT,0,0,0,10.00172,23.31584
