"8-OH-DPAT dose (mg/kg)","WAY 100,635 dose (mg/kg)","Geotaxis (s)"
"0.00","0.000",319.022927643408
"0.00","0.000",292.413617104387
"0.00","0.000",306.364257706026
"0.00","0.000",284.937342365673
"0.00","0.000",307.306450393
"0.00","0.000",291.234441077375
"0.00","0.000",308.227910878641
"0.00","0.000",303.996226513194
"0.00","0.000",303.394810116946
"0.00","0.000",308.692722595004
"0.03","0.000",236.493737868256
"0.03","0.000",255.702967188027
"0.03","0.000",239.558683865302
"0.03","0.000",268.809821896068
"0.03","0.000",252.081243246586
"0.03","0.000",240.779079285468
"0.03","0.000",231.548703064881
"0.03","0.000",240.119756884323
"0.03","0.000",250.600534608361
"0.03","0.000",248.056164005421
"0.30","0.000",85.1215954314133
"0.30","0.000",79.4211561842278
"0.30","0.000",174.0643847343362
"0.30","0.000",83.6571137598477
"0.30","0.000",87.3354602107782
"0.30","0.000",176.9741392329218
"0.30","0.000",72.3275107018906
"0.30","0.000",73.4990425600679
"0.30","0.000",76.4162462322841
"0.30","0.000",71.4608615285481
"3.00","0.000",63.0787462059045
"3.00","0.000",261.3142596578114
"3.00","0.000",70.7708441837355
"3.00","0.000",57.9722153537717
"3.00","0.000",65.6319633463971
"3.00","0.000",74.2983906472247
"3.00","0.000",73.3311661510802
"3.00","0.000",56.9995157613887
"3.00","0.000",161.4256542758782
"3.00","0.000",61.6090455504981
"0.00","0.001",309.650859256123
"0.00","0.001",296.186803859108
"0.00","0.001",303.425687939281
"0.00","0.001",290.155978984242
"0.00","0.001",283.689842461846
"0.00","0.001",294.246956908225
"0.00","0.001",302.298550175488
"0.00","0.001",294.408947304843
"0.00","0.001",309.806777455092
"0.00","0.001",290.827246726146
"0.03","0.001",304.082226739711
"0.03","0.001",307.000744175446
"0.03","0.001",305.420966318649
"0.03","0.001",282.467961762821
"0.03","0.001",299.228199932893
"0.03","0.001",311.893482233776
"0.03","0.001",308.547945079675
"0.03","0.001",287.927766243298
"0.03","0.001",287.897290686167
"0.03","0.001",294.07537949614
"0.30","0.001",268.95853737733
"0.30","0.001",80.611011582578
"0.30","0.001",243.896600107776
"0.30","0.001",245.596382348609
"0.30","0.001",270.082255612843
"0.30","0.001",340.755583340045
"0.30","0.001",253.15171419057
"0.30","0.001",270.023480954901
"0.30","0.001",260.27365238558
"0.30","0.001",271.135719617899
"3.00","0.001",78.8545871871115
"3.00","0.001",77.7407408026197
"3.00","0.001",74.7479733957819
"3.00","0.001",79.7598548833736
"3.00","0.001",90.4775377714206
"3.00","0.001",181.3556983584247
"3.00","0.001",74.3908692213936
"3.00","0.001",74.7211091366929
"3.00","0.001",71.0071863828014
"3.00","0.001",172.8323070524845
