Status,Droga,TempoClaro,AbsTurnAngle,Speed,Freezing
CTRL,VEH,318.301318,21.40593279,10.10526303,2.094672847
CTRL,VEH,372.247648,21.55337623,4.938504082,48.33180943
CTRL,VEH,191.829789,16.30841086,3.362503842,6.956935163
CTRL,DPAT,279.215787,22.48594167,5.414110633,33.06769678
CTRL,DPAT,406.628567,22.37173556,7.340406993,28.80685073
CTRL,DPAT,70.284981,14.949287,5.45504211,8.519076455
DOM,DPAT,302.416727,25.65485336,11.02082108,1.093994208
DOM,DPAT,668.814981,15.640865,7.834425283,78.8471884
DOM,VEH,354.163518,23.87543347,6.567833492,16.73223246
DOM,VEH,265.836433,10.63637401,2.85544645,69.5980463
SUB,DPAT,311.035379,20.75025037,5.007382126,65.45205816
SUB,VEH,181.930916,26.92408224,14.36760101,15.77405285
CTRL,VEH,216.593739,18.96898581,3.645400682,58.02013627
CTRL,VEH,257.174019,20.33466079,3.965074894,41.19258069
CTRL,VEH,356.321366,24.4016107,3.647559,51.43703597
CTRL,DPAT,187.909035,47.394306,38.216961,0.8163609696
CTRL,DPAT,86.00964,26.17091958,8.404124055,53.07610463
CTRL,DPAT,396,13.45963742,1.350141984,28.89485261
DOM,DPAT,0,27.04725734,3.647559,52.50982497
DOM,DPAT,260.166301,20.48903243,5.338337253,67.75954692
DOM,DPAT,392.960482,26.89208588,6.864966386,2.204480783
DOM,VEH,379.435499,19.40204739,5.357039578,15.58677104
DOM,VEH,392.65974,21.22107218,5.1960318,49.35482728
DOM,VEH,239.088101,18.56372359,5.983893526,56.94424478
SUB,DPAT,205.76314,22.16758981,6.418713628,33.40892658
SUB,DPAT,314.8,24.43361127,3.111892549,65.8140134
SUB,DPAT,381.317521,21.15635619,2.70131355,53.59885291
SUB,VEH,65.582831,27.69523668,4.370460648,59.34205658
CTRL,VEH,231.8183643,23.86334248,8.898210588,50.48544961
CTRL,VEH,182.4462765,17.30105946,6.505281074,55.8707508
CTRL,DPAT,395.0583328,20.13621057,1.610834422,29.54533196
CTRL,DPAT,384.2299027,25.27966431,10.89696023,65.09614521
CTRL,DPAT,375.7160431,14.67633393,2.036606635,28.60329824
DOM,DPAT,275.0585401,18.00257233,6.94952209,67.52231151
DOM,VEH,355.6347564,20.38756307,10.32712677,21.37175969
DOM,VEH,264.4478697,24.90267021,2.362870894,51.17769439
DOM,VEH,368.8540566,13.53278736,7.396983484,73.61326275
SUB,DPAT,208.0215366,21.37092815,7.937176616,3.292208645
SUB,VEH,162.7590615,21.86282881,1.297920405,7.699521108
SUB,VEH,119.3614701,26.85241674,6.924904349,72.92465298
CTRL,VEH,132.7114052,20.84684761,1.429419998,61.53868273
CTRL,DPAT,357.5755609,25.91427835,8.58207566,27.98287121
CTRL,DPAT,448.2207051,31.02343513,8.796271044,73.44352846
DOM,DPAT,65.12375445,27.63152378,2.735924216,11.55197354
DOM,DPAT,506.326312,23.55382874,3.758927997,51.51076009
DOM,VEH,267.2199619,12.13663389,9.356617712,32.21290821
DOM,VEH,395.2835011,12.52197255,6.35270873,22.65716355
DOM,VEH,269.4126489,21.90050247,1.711828407,76.51377192
SUB,DPAT,253.9430143,26.3063568,12.37084501,13.33821187
SUB,DPAT,273.5765942,23.5889649,10.13603431,12.27525377
SUB,DPAT,224.7751747,27.00066362,10.18331253,19.15512847
SUB,VEH,0,14.4153271,7.2000675,72.32718324
SUB,VEH,112.071392,22.37920783,18.01866551,61.46356228
SUB,DPAT,540.944731,19.76276465,5.891475593,58.17781991
DOM,VEH,102.814739,26.3273397,36.26965215,44.5720952
DOM,VEH,0,5.154386952,5.234975227,43.01339756
DOM,DPAT,540.944731,19.76276465,5.891475593,69.89003695
CTRL,VEH,208.838968,20.61777453,7.976255806,9.269403831
CTRL,DPAT,285.171053,21.87003326,5.333930226,68.70983508
CTRL,DPAT,73.176964,16.29664187,3.770973435,14.72454403
SUB,VEH,40.285419,23.73688291,9.353968229,50.4420584
SUB,DPAT,330.527889,24.3992786,10.15395465,60.52525872
SUB,DPAT,71.920952,23.27766117,7.374534222,48.36073424
DOM,VEH,614.100069,22.05842315,7.072755,78.0667752
DOM,DPAT,303.073179,21.51912618,12.14278955,
CTRL,VEH,387.576112,24.34638643,7.350844382,
SUB,VEH,127.9959807,20.66243691,4.033338859,
CTRL,VEH,89.2603735,20.16640606,4.44539807,
CTRL,DPAT,100.3459372,11.39554969,12.59699429,
SUB,VEH,67.0168559,32.41001455,3.305782835,
SUB,VEH,124.1184962,44.79192781,8.968301948,
SUB,VEH,137.6840772,42.73125696,4.404497704,
SUB,VEH,60.1297044,29.81726517,1.611648339,
CTRL,DPAT,122.6448562,25.89890506,11.11411962,
SUB,DPAT,239.9891125,34.79166002,2.085165394,
SUB,DPAT,369.1854468,23.20939023,13.6652112,
SUB,DPAT,230.8703945,39.993345,10.624961,
SUB,DPAT,239.5035835,25.56055727,7.841898594,
CTRL,DPAT,91.7700056,29.99257375,2.782247695,
DOM,DPAT,114.0413248,10.35402951,9.613757852,
SUB,DPAT,67.4661382,29.02063166,5.28760679,
SUB,DPAT,35.3397931,34.53704275,11.08723525,
DOM,DPAT,236.0707486,17.03084434,4.610049883,
DOM,DPAT,174.9002473,16.52048382,13.58075192,
SUB,DPAT,283.9103235,22.00921149,2.864365242,
