"Grupo","Speed (cm/s)","Erratic swimming (Abs. turn angle)","Time on top third (s)","Time on bottom third (s)"
"VEH",0.15537540166205,7.118264855,1.4,355.93333
"VEH",2.77242824,12.48947199,0.0,199.0
"VEH",6.027384986,33.82927246,1.125,356.87773
"VEH",6.019395062,22.32142765,6.296297,282.86667
"VEH",3.909642808,22.35941457,18.230952,289.09999
"VEH",6.004277055,20.7469395,195.6,85.4
"VEH",4.184930808586215,10.658973431461346,32.31035704041858,152.6481219087082
"VEH",2.7944526372978884,24.612203133575537,0.0,360.0
"VEH",5.788057753149824,8.758809465757729,80.92163854508681,224.32481608310067
"VEH",4.489050101794021,15.418900653642703,218.73242931087321,239.33691784089746
"VEH",4.9207683835116764,26.473725135306324,199.90070977320585,231.57296650575344
"VEH",4.7315953136101445,15.901915088797523,4.160341831166463,350.172
"VEH",7.162480211496812,38.00544265052353,74.43057768686947,304.12710711091796
"VEH",3.4611701266951167,26.168364167898943,31.48358061091742,391.88843377921205
"VEH",4.0838131590445315,13.039505615595257,0.0,360.0
"VEH",3.087494828012712,17.030798340255036,15.798902155050364,147.4782803820932
"VEH",6.449382717495449,11.131969523977093,0.0,360.0
"VEH",5.4198151731477635,37.14643991573346,170.52723303255334,316.27886426960515
"RS-102221",1.068445089,13.48910059,5.45977,210.7
"RS-102221",0.275640712,0.995046628,29.112057,0.0
"RS-102221",4.740725378,12.094106628,213.600002,3.610002
"RS-102221",2.58122709,18.05426022,130.125,29.875
"RS-102221",4.698921723,16.27187879,120.60001,0.235714
"RS-102221",10.3308439,6.904767333,39.97067,49.25463
"RS-102221",3.1527251678088004,9.1623427243825,0.0,360.0
"RS-102221",2.08257155668599,11.644485227200366,142.50728787250864,287.35538685505117
"RS-102221",4.535017288032804,18.964768470928696,185.7839584907822,231.82529833395935
"RS-102221",4.491546566890166,6.030211771065057,0.0,360.0
"RS-102221",2.527850510787959,16.35044649634879,0.0,360.0
"RS-102221",2.360965643092647,13.28201162338377,94.88253222879047,206.90368683407883
"RS-102221",1.3765279767869374,12.82416732943703,151.7299065631703,106.193
"RS-102221",5.676445125780243,11.31026028127641,66.70246186899544,201.02746536731993
"RS-102221",1.5977488014674015,24.239257379076886,44.81785975032398,275.62710245101266
"RS-102221",4.156563208438108,17.793257239598965,108.7518370755679,29.2552837967925
"RS-102221",6.409283743595084,21.166892230443363,87.71185243930711,208.38996706500103
"RS-102221",1.1555920008453102,10.595729410969827,133.34633018144802,237.1391140494931
"MK-212",5.765242256,18.55355794,116.274057,214.019048
"MK-212",1.373202774,19.02198935,45.04885,175.45
"MK-212",2.59283477,17.9355177,0.548023,359.0
"MK-212",5.6294298,16.95464569,1.25,346.0
"MK-212",2.628379962,25.4935252,0.0,360.0
"MK-212",1.21584972,24.673897034,2.0,358.0
"MK-212",3.8793891214529794,6.230728222523789,63.1013177127042,319.05670798072737
"MK-212",2.1248074086079782,18.462264531634588,0.0,312.7967969992112
"MK-212",2.975637347566461,24.349871222265012,137.55555740115224,200.2889663923305
"MK-212",2.133257848467797,9.658200845532182,91.10568264140589,219.7342383079264
"MK-212",2.919942538212786,18.68843484828318,67.20916921046154,280.0945807078995
"MK-212",1.9330795060263148,7.501331788502854,70.39617401745218,253.21450359321543
"MK-212",6.586611026395536,6.010177621402997,71.11466636595155,304.20518677587967
"MK-212",2.3601148059895487,8.156676496544705,0.0,319.6548331851228
"MK-212",8.28504749443886,8.198702116672278,0.0,72.65011415655624
"MK-212",2.5587282980055326,2.3992418331735745,0.0,210.36944967409326
"MK-212",1.6329007081685842,10.385703534532517,34.99705888814677,371.0350239383173
"MK-212",2.6591286299264802,26.68593339426841,54.055446428880785,338.90597475910033
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
